string,length
heavy,5
helped,6
herself,7
higher,6
himself,7
history,7
holding,7
horse,5
hospital,8
hotel,5
hours,5
house,5
however,7
human,5
hundred,7
husband,7
ideas,5
imagine,7
immediately,11
important,9
impossible,10
including,9
income,6
increase,8
indeed,6
individual,10
industrial,10
influence,9
information,11
inside,6
instance,8
instead,7
interest,8
involved,8
issue,5
itself,6
killed,6
kitchen,7
knowledge,9
known,5
labour,6
language,8
large,5
later,5
leading,7
learn,5
least,5
leave,5
letter,6
level,5
light,5
likely,6
lines,5
little,6
lives,5
local,5
longer,6
looked,6
loved,5
lower,5
major,5
making,6
market,6
marriage,8
material,8
matter,6
maybe,5
means,5
meant,5
meeting,7
member,6
merely,6
middle,6
might,5
miles,5
military,8
million,7
minister,8
minute,6
modern,6
moment,6
money,5
month,5
morning,7
mother,6
mouth,5
movement,8
music,5
myself,6
national,8
natural,7
nearly,6
necessary,9
needed,6
neither,7
never,5
night,5
nobody,6
normal,6
north,5
nothing,7
notice,6
nuclear,7
number,6
obviously,9
offer,5
office,6
official,8
often,5
older,5
opened,6
order,5
ordinary,8
original,8
others,6
otherwise,9
ought,5
outside,7
paper,5
parents,7
particular,10
parts,5
party,5
passed,6
peace,5
people,6
perhaps,7
period,6
person,6
personal,8
physical,8
picked,6
picture,7
piece,5
place,5
planning,8
played,6
pleasure,8
point,5
police,6
policy,6
political,9
popular,7
population,10
position,8
possibly,8
pounds,6
power,5
powerful,8
practice,8
prepared,8
presence,8
president,9
press,5
pressure,8
pretty,6
price,5
private,7
probably,8
problem,7
process,7
produce,7
programme,9
provide,7
public,6
pulled,6
purpose,7
putting,7
quality,7
question,8
quickly,7
quiet,5
raised,6
range,5
rather,6
reach,5
reading,7
ready,5
realized,8
really,6
reason,6
received,8
recently,8
remain,6
remember,8
report,6
required,8
research,8
result,6
return,6
revolution,10
right,5
river,5
round,5
running,7
saying,6
scene,5
school,6
science,7
second,6
secret,6
secretary,9
section,7
security,8
seeing,6
seemed,6
sense,5
series,6
serious,7
service,7
several,7
sexual,6
shall,5
share,5
short,5
should,6
showed,6
sight,5
silence,7
similar,7
simple,6
since,5
single,6
sister,6
sitting,7
situation,9
sleep,5
slightly,8
slowly,6
small,5
smile,5
social,6
society,7
someone,7
something,9
sometimes,9
somewhere,9
sorry,5
sound,5
south,5
space,5
speak,5
special,7
species,7
spend,5
spoke,5
spread,6
square,6
staff,5
stage,5
standing,8
start,5
states,6
station,7
still,5
stone,5
stood,5
stopped,7
story,5
straight,8
strange,7
street,6
strength,8
structure,9
student,7
study,5
style,5
subject,7
successful,10
suddenly,8
suggested,9
summer,6
supply,6
support,7
suppose,7
surface,7
system,6
table,5
taken,5
talked,6
technology,10
teeth,5
telephone,9
television,10
telling,7
terms,5
themselves,10
theory,6
therefore,9
these,5
things,6
think,5
third,5
those,5
though,6
thought,7
thousand,8
three,5
throughout,10
times,5
today,5
together,8
total,5
touch,5
towards,7
trade,5
traditional,11
training,8
tried,5
trouble,7
truth,5
trying,6
turned,6
twenty,6
under,5
understand,10
union,5
united,6
university,10
unless,6
until,5
useful,6
using,5
usually,7
value,5
various,7
village,7
visit,5
voice,5
waiting,7
walking,7
walls,5
wanted,6
watch,5
water,5
weapons,7
weeks,5
weight,6
western,7
whatever,8
where,5
whether,7
while,5
white,5
whole,5
whose,5
window,6
winter,6
within,6
without,7
woman,5
wonder,6
words,5
workers,7
world,5
worse,5
worth,5
writing,7
wrong,5
years,5
young,5
yourself,8
